"Team","VAR","Player","ADP","Pos","Site Pos","GS","W","L","T/O","SO","SV","SV%","GA","GAA","SA","Points"
"Sharks","-35.2","Yaroslav Askarov","177.0","G","G","44","16.5","21.7","5.8","2.1","1291.4","0.901","141.9","3.22","1433.3","59.5"
"Wild","-41.5","Jesper Wallstedt"," - ","G","G","30","14.2","13.1","2.7","1.1","798.6","0.902","86.8","2.89","885.3","53.2"
"Stars","-42.4","Casey DeSmith","165.0","G","G","24","12","9","3","1.2","628.3","0.91","62.1","2.59","690.5","52.3"
"Penguins","-45.1","Arturs Silovs"," - ","G","G","37","14.4","17.8","4.9","1.5","1008","0.899","113.3","3.06","1121.3","49.6"
"Rangers","-46.9","Jonathan Quick"," - ","G","G","24","12.7","7.9","3.5","2.4","632.2","0.896","73.4","3.06","705.6","47.8"
"Blue Jackets","-48","Elvis Merzlikins"," - ","G","G","40","17.1","17.8","5","0.8","1141","0.892","138.2","3.45","1279.2","46.7"
"Flyers","-49.1","Dan Vladar","183.0","G","G","35","14.6","14.6","5.8","1.4","858.7","0.893","102.9","2.94","961.6","45.6"
"Utah","-55.2","Vitek Vanecek","186.0","G","G","27","12.7","10.3","3.9","1","721.4","0.893","86.4","3.2","807.9","39.5"
"Canadiens","-55.7","Jakub Dobes"," - ","G","G","25","10.6","9.1","5.3","1.7","692.6","0.899","77.8","3.11","770.4","39"
"Sharks","-56.6","Alex Nedeljkovic"," - ","G","G","38","12.9","19.2","5.9","1","1110.4","0.897","127.5","3.36","1237.9","38.1"
"Ducks","-57.2","Petr Mrazek"," - ","G","G","32","12.1","17.1","2.7","0.7","954.4","0.898","108.4","3.39","1062.9","37.5"
"Bruins","-57.5","Joonas Korpisalo"," - ","G","G","27","11.2","12.3","3.4","1.3","703.1","0.896","81.8","3.03","784.8","37.2"
"Lightning","-58.8","Jonas Johansson","182.0","G","G","20","10.4","6","3.6","1.3","518.2","0.894","61.4","3.07","579.7","35.9"
"Islanders","-60.4","David Rittich"," - ","G","G","22","10","10","2","0.8","594.3","0.898","67.5","3.07","661.8","34.3"
"Jets","-64.2","Eric Comrie"," - ","G","G","20","7.2","11.9","0.9","1.4","512.7","0.905","53.8","2.69","566.5","30.5"
"Predators","-65","Justus Annunen"," - ","G","G","20","8.6","10.5","1","1.5","533.6","0.895","62.6","3.13","596.2","29.7"
"Kraken","-67.7","Philipp Grubauer"," - ","G","G","27","10.3","15.2","1.5","0.6","677.4","0.89","83.7","3.1","761.2","27"
"Flames","-72","Devin Cooley"," - ","G","G","26","8.1","13.8","4.1","0.6","663.3","0.895","77.8","2.99","741.1","22.7"
"Blackhawks","-79.9","Arvid Soderblom"," - ","G","G","29","8.3","14.9","5.8","0","822.3","0.891","100.6","3.47","922.8","14.8"
